model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
regnety_160.sw_in12k_ft_in1k,288,56.2133,43.7867,82.8133,17.1867,83.59,1.0,bicubic
efficientvit_l3.r256_in1k,256,56.1467,43.8533,81.3333,18.6667,246.04,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k,224,55.56,44.44,81.8933,18.1067,39.3,1.0,bicubic
convformer_b36.sail_in1k_384,384,55.4667,44.5333,81.2533,18.7467,99.88,1.0,bicubic
vit_large_patch16_224.augreg_in21k_ft_in1k,224,55.2933,44.7067,79.68,20.32,304.33,0.9,bicubic
convnext_base.fb_in22k_ft_in1k,224,54.7733,45.2267,82.5733,17.4267,88.59,0.875,bicubic
convnextv2_large.fcmae_ft_in1k,224,54.68,45.32,81.16,18.84,197.96,0.875,bicubic
vit_base_patch16_clip_384.openai_ft_in1k,384,54.4533,45.5467,82.3067,17.6933,86.86,1.0,bicubic
xcit_small_24_p8_384.fb_dist_in1k,384,54.3867,45.6133,81.7067,18.2933,47.63,1.0,bicubic
vit_base_r50_s16_384.orig_in21k_ft_in1k,384,54.3467,45.6533,80.8133,19.1867,98.95,1.0,bicubic
cait_s36_384.fb_dist_in1k,384,54.2133,45.7867,81.2533,18.7467,68.37,1.0,bicubic
deit3_huge_patch14_224.fb_in1k,224,54.1467,45.8533,81.92,18.08,632.13,0.9,bicubic
volo_d1_384.sail_in1k,384,53.84,46.16,80.9067,19.0933,26.78,1.0,bicubic
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,384,53.84,46.16,81.52,18.48,39.03,0.95,bicubic
beitv2_base_patch16_224.in1k_ft_in1k,224,53.64,46.36,81.8267,18.1733,86.53,0.9,bicubic
convformer_m36.sail_in1k_384,384,53.6133,46.3867,80.8667,19.1333,57.05,1.0,bicubic
dm_nfnet_f3.dm_in1k,416,53.56,46.44,79.2933,20.7067,254.92,0.94,bicubic
vit_base_patch16_clip_384.laion2b_ft_in1k,384,53.3733,46.6267,80.4133,19.5867,86.86,1.0,bicubic
deit3_base_patch16_384.fb_in1k,384,53.2933,46.7067,80.5067,19.4933,86.88,1.0,bicubic
convnext_small.fb_in22k_ft_in1k_384,384,53.16,46.84,81.4667,18.5333,50.22,1.0,bicubic
resnext101_32x16d.fb_wsl_ig1b_ft_in1k,224,53.04,46.96,76.88,23.12,194.03,0.875,bilinear
convnext_small.in12k_ft_in1k,288,52.9867,47.0133,81.3067,18.6933,50.22,1.0,bicubic
volo_d4_224.sail_in1k,224,52.8667,47.1333,80.56,19.44,192.96,0.96,bicubic
xcit_large_24_p16_384.fb_dist_in1k,384,52.8267,47.1733,81.7333,18.2667,189.1,1.0,bicubic
resnetv2_152x2_bit.goog_in21k_ft_in1k,448,52.8,47.2,81.1333,18.8667,236.34,1.0,bilinear
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,256,52.5067,47.4933,82.76,17.24,88.59,1.0,bicubic
resnetv2_101x3_bit.goog_in21k_ft_in1k,448,52.4,47.6,79.84,20.16,387.93,1.0,bilinear
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,448,52.3067,47.6933,79.9733,20.0267,88.34,1.0,bicubic
maxvit_tiny_tf_384.in1k,384,52.04,47.96,79.8933,20.1067,30.98,1.0,bicubic
vit_betwixt_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,52.0267,47.9733,80.4667,19.5333,60.4,0.95,bicubic
dm_nfnet_f5.dm_in1k,416,51.96,48.04,77.4667,22.5333,377.21,0.954,bicubic
